Year,Total Operating Revenue ($),System Passenger Revenue ($),System Total Transport Related Revenue ($),System Passenger Revenue per ASM ($),System Revenue Per ASM (exc-transport) ($ per ASM),System Passenger Yield ($ per RPM),Ancillary Fees ($),International ASM,Internation ASM as % of total ASM,International Revenue as % of total Revenue,International Revenue ($) per ASM,International Passenger Yield ($ per RPM),International RPM,International RPM as % of total RPM,International Passenger Revenue ($),International Load Factor,Domestic ASM,Domestic ASM as % of total ASM,Domestic Revenue as % of total Revenue,Domestic Revenue ($) per ASM,Domestic Passenger Yield ($ per RPM),Domestic RPM,Domestic RPM as % of total RPM,Domestic Passenger Revenue ($),Domestic Load Factor (%),Total Available Seat Miles (ASM),Total Revenue Passenger Mile (RPM),Total Enplaned Passengers,Total Passenger Yield ($ per RPM),Total Passenger RPM per ASM ($ per ASM),Total Load Factor (%),Total Departed Seats,Total operating fleet numbers,Total Aircraft Block Hours,Total Aircraft Airborne Hours,Gallons Fuel per Block Hour,Average Stage Length Flown,Average Seat Capacity per Aircraft,Departure per Aircraft Day,Total Operating Expenses ($),Total Labour Operating Expenses ($),Total Labour Operating Expenses per ASM($),Total Fuel Expenses ($),Total Fuel Expense per ASM,Fuel Expense per Enplaned Passenger ($),Total Fuel in Gallons,Fuel price per Gallon ($),Transport Related Expenses ($),Other Outsourcing Expenses ($),Management and Other Expenses ($),Management and Other Expenses per ASM,Flight Equipment Maintenance Expense ($),Outsourced Flight Equipment Maintenance Expense ($),CASM excluding Transport ($ per ASM),CASM excluding Transport and Fuel ($ per ASM),CASM excluding Transport Fuel and labour ($ per ASM),ASM Prodcued per Employee Equivalent,ASM Prodcued per Dollar Employee Compensation,ASM Prodcued per Dollar Pilot Compensation,Total Flight Attendant Block Hours per Month,Percentage of maintenance expense outsourced,Handling Employees per Aircraft,All Employees Avg Wage ($),Non Cockpit Employees Avg Wage ($),Full Time Employees Equivalents,Full Time Non Cockpit Employees Equivalents,All Employees average benefits and pensions ($),Non-Cockpit Employees average benefits and pensions ($),Pilot and Co-Pilot equivalents,Average Pilot and Co-Pilot wages ($),Flight Attendant Employee Equivalents,Average Flight Attendant Employee Wage ($),Ground Staff Employee Equivalents,Average Ground Staff Employee Wage ($),Maintenance Staff Equivalents,Average Maintenance Staff Wage ($),Management and Others Equivalents,Average Management and Others Wage ($)
2007,173108072059.99997,107015318860.00002,33579652069.999996,10304880051.720734,0.11104165875193978,0.128314808958934,3272783010.0,283617828404.0,29.535364821535964,29.67735533465855,0.10185879205686728,0.12616441195367448,226971786954.0,29.57828013545744,28446194330.0,80.73496359200578,762352878440.0,70.46463517846404,70.32264466534146,0.10116718176755186,0.1255663171929933,606908862477.0,70.42171986454254,78513078280.00003,80.5687257770407,1060115523957.9999,842025595282.0,592918132.9999999,0.12574322333678303,0.10137145138964446,80.617824722162,866193720.702113,3655.3150684931506,14341578.0,12670163.0,1008.3050259183474,1092.0138529285587,166.9149981734771,3.9943171512303346,163898094389.99997,29115582650.0,3244538665.4207425,29818391130.0,0.03322857183554384,50.290907749991185,14185192141.0,2.1020787616837966,17734868590.0,9976886530.0,4052606479.9999995,0.45160828749874427,9750210920.000002,4543042760.0,0.10942171464490896,0.07619314280936511,0.04374775615515768,2.540583030318644,30.82102274377806,107.96106132764343,61.771087738284436,46.59430239279377,37.72232965319782,57399.876590745014,36046.70931805471,353215.0,307532.0,16306.635901646307,13638.83088589155,45683.0,128854.77617494472,82879.0,39847.34444189722,137887.0,35298.14318971332,35785.0,61222.83945787341,50975.0,79461.35990873481
2008,185676463469.99994,111533142439.99998,36441592810.0,10662385415.143332,0.11671722640233606,0.13289318199267125,4558524250.0,293890069185.0,31.414961388102398,31.456433768252435,0.10676461335714432,0.13419156931704454,232461802676.0,31.15207310623357,31209241840.000004,79.56134196843576,734038962095.0,68.5850386118976,68.54356623174755,0.10655938025009963,0.1323056921629267,583231909181.0,68.84792689376643,80306146459.99997,80.54028402563209,1040839664671.0,823782901367.0,575870774.9999999,0.13289318199267125,0.10662385415143331,80.23274975635198,845069396.253138,3712.3260273972605,14280120.0,12483160.0,984.3105109060708,1113.7072221959852,167.45478130209176,3.8242913832408734,189346226340.00015,29154393489.999996,3208077056.3606963,42423223640.0,0.04668146173681308,73.6679572600294,14056072213.0,3.0181421237124946,20767124300.0,11056337290.0,3788632549.9999995,0.4168917169484331,10087283910.0,4671986850.0,0.12794452075841245,0.08126305902159939,0.04918228845799241,2.6086643311663638,31.171321088353746,105.06018261460763,62.74137876078717,46.31560776601558,35.504694099405235,58821.26635743108,36434.78017800138,344721.0,298537.0,15865.80832035182,13296.32447569313,46184.0,129376.07721288758,80718.0,42427.84806362893,131805.0,36749.426577140475,37559.0,61049.580926009745,48459.0,77354.45041228672
2009,154719237989.99994,91330792580.00002,31006419969.999996,9363576149.013071,0.10559408139855464,0.11552071661751633,7030667230.0,280366353378.0,31.95481013830977,30.58751841919995,0.0896292472675815,0.11307130886932015,221317149930.0,31.250120677573655,24986162990.0,79.26789577643314,683843647530.0,68.04518986169022,69.41248158080003,0.09551726702429454,0.11663409002957331,552096557624.0,68.74987932242634,66286118749.99999,81.89481051386907,975307053120.0,779996843459.0,542246193.0,0.11552071661751634,0.0936357614901307,81.05538489702614,785565525.1440222,3529.8246575342464,13135166.0,11563698.0,997.7732821952916,1125.4357808118882,167.94392143307113,3.6585340806397135,152185209459.99994,29478320660.000004,3450014042.142847,25558627030.000004,0.02991270200511881,47.13472839448779,13105917692.0,1.950159281528319,16931935980.000002,9653699740.0,3523146860.0000005,0.4123337377228829,9969250650.0,4317888320.0,0.11037897770734341,0.0804662757022246,0.045966135280796135,2.548902655783234,28.985389270441562,95.55788957833508,49.81631607068981,43.31206498454325,35.600918513551065,60549.736828759706,36687.82983430746,335219.0,290176.0,18494.444736127727,15579.931455392592,45043.0,136943.38232355748,80217.0,43421.64067466996,125665.0,38262.954362789955,35047.0,66557.7864011185,49229.0,71561.66736085582
2010,174677395010.00006,103978412290.0,33148223140.00001,10651089787.718622,0.11966798213473614,0.12876573513525336,7935134140.000001,289700272049.0,32.498399264897806,32.831569727535786,0.10760283735495793,0.13089928868363565,237246523132.0,32.29644144077756,30913953380.0,82.20276705629637,689911154947.0,67.50160073510219,67.16843027246419,0.10598518760164788,0.127747971982142,564694675093.0,67.70355855922244,72931805899.99998,82.964281903797,991934317229.0,809067827326.0,552919514.0,0.12876573513525336,0.10651089787718623,82.71680176819476,778087545.2804782,3494.813698630137,13117175.0,11491142.0,1005.9666207091085,1152.5194764244175,168.66169687569894,3.7194033899155463,164152976630.0,30707407040.0,3540614802.5679197,30283433860.0,0.034917299939273075,54.77005801607501,13195440208.0,2.2949923142116972,17668528319.999996,9924440450.000002,4014736040.0,0.4629057032757824,10336551430.0,4350149760.0,0.11688574442975357,0.0819684444904805,0.04656229646480131,2.603849681457908,28.243682404387084,95.22782811788386,54.35869272516936,42.08511697019632,35.05394294637769,63573.63137984869,39540.87502543271,333080.0,285066.0,19639.802900204155,16924.130446984207,48014.0,132124.88065980756,78029.0,45617.68111855848,122507.0,38979.08274629205,35804.0,69316.67439392247,48729.0,82391.2340746032
2011,193040699220.00003,114299366140.00002,36870161720.0,11564419164.946936,0.12988675269463262,0.1399393315671234,8694282510.0,303145384013.0,33.43729763445545,33.18309004964598,0.11476500485100745,0.14263949581745874,243227999551.00003,32.554934481973646,34393304529.99999,80.45808364176824,697778600069.0,66.56270236554455,66.816909950354,0.11608584485181396,0.1386359942571946,575612989375.0,67.44506551802635,79818689840.00003,83.73427512371275,1012597333330.0,825915701067.0,567022189.0,0.13993933156712338,0.11564419164946933,82.6388052268203,791419273.4886634,3546.367123287672,13397502.0,11757573.0,999.9603812710756,1167.2965426135063,169.09921916702683,3.7213432383824774,185895476149.99994,31897762790.0,3578164453.1407676,40317655930.00001,0.045226746537820786,71.10419435455286,13396971207.999998,3.0094605193989166,20849413360.000004,10510788750.0,3793753509.9999995,0.4255682143863613,11037411870.0,4905640410.0,0.12989692199036043,0.08467017545253964,0.04888853092113197,2.6159436062656627,27.947290100717435,93.76319253562487,53.39819872092551,44.445568107625576,35.08322620717786,64058.16414205142,39067.149580442594,340778.0,291736.0,20142.449307173585,17744.604813941372,49042.0,137065.09216589862,80604.0,46032.11825715845,124418.0,40958.48719638638,37001.0,69970.61944271777,49668.0,76350.66508391465
2012,196105250449.9999,115974833090.00003,38240299709.99999,11863826345.324638,0.1337131025631274,0.14254168743976595,9680417850.0,303843737088.0,33.30843768105821,33.54491543334497,0.11948055182910082,0.14628296060619742,247546823317.0,32.6869843970786,35951369670.0,81.67769597632747,699590258814.0,66.69156231894179,66.45508456665505,0.11821759089886147,0.14072493719434906,580501410254.0,67.31301560292141,80020345819.99998,84.0061422344757,1012260746681.0,832734428863.0,575338159.9999999,0.14254168743976592,0.11863826345324634,83.23057316364346,793103319.2247956,3510.964480874317,13413223.0,11414413.0,984.4092492907931,1184.0005307183355,170.23456284427698,3.737204215054634,188574523300.00003,33710074229.999996,3752694975.9682894,42795704620.00001,0.04764131476683994,74.38356708340015,13204100784.0,3.2410919395478617,20806764140.000004,9714702990.0,4437255980.000001,0.49396711824538914,11364456600.000002,5153047630.0,0.13395795381582565,0.08631663904898568,0.04878968928930279,2.605362030418957,26.64751615582545,91.63457225029029,52.918615651120426,45.34354621055968,37.647774769593774,65980.86906332932,40601.39772449434,344785.0,298571.0,21547.976942152356,18739.74712882363,46214.0,147395.9109793569,84163.0,45329.41304373656,132180.0,39586.07966409442,37090.0,66127.23429495821,45138.0,98304.22216314414
2013,200244883860.00006,120641720590.00005,39123246750.00001,12243520019.125187,0.13682566709095,0.1464614642649617,9564183980.0,309249918557.0,33.334492484766535,33.099761710185454,0.1215730508907933,0.14741234370376252,254558429071.00003,32.88625256944028,37256473509.99999,82.4714184960688,708403371404.0,66.66550751523346,66.90023828981457,0.12286629732750809,0.14599552602451632,589692376787.0,67.11374743055971,83385247079.99998,84.15757706635185,1025616305474.0,847999802982.0,584814665.0,0.14646146426496168,0.12243520019125187,83.5955046644596,804792661.2564332,3540.5013698630137,13568422.0,11538932.0,985.5271061734371,1194.5690607373097,171.3113900877566,3.730530386919893,187725860459.99994,34677463139.99999,3789164048.955064,41036030970.0,0.04483956990613087,70.16929195850449,13372047669.0,3.068791854902862,20960510950.0,10672235649.999998,4948861470.0,0.5407560492437715,11541767120.0,5515157719.999999,0.132079357398208,0.08723978749207711,0.04934814700252648,2.715111535751053,26.39104528281824,83.76746847533268,54.15819429650454,47.78434413603035,36.46602176148723,71899.49102107296,43530.595203608675,337067.0,289968.0,20042.13521347388,16154.301853997682,47099.0,161926.03643389457,84162.0,47359.99287089185,129108.0,40597.8232952257,33921.0,71699.4360425695,42777.0,115689.77417771232
2014,207713887300.00006,126705630570.0,39969807709.99999,12586824141.526484,0.1409045678688408,0.1503266628282838,10371053990.0,319752314958.0,33.616925860480166,32.0075956466091,0.1198425993111325,0.14797327076702488,258511266831.00003,32.51664989069153,38045549480.0,80.9893561789396,721277465410.0,66.38307413951985,67.99240435339092,0.1289196753312457,0.1514606377359838,607771655075.0,67.48335010930845,88660081090.0,85.11761026384292,1048106683581.0,869677224748.0,605529024.0,0.15032666282828377,0.12586824141526484,83.72981814878875,820580153.687944,3643.852054794521,13796459.0,12120413.0,994.3251859045861,1198.9737020017615,172.70034890139155,3.6483933155188772,191035957879.99997,37255625330.0,3965037616.4205933,41879519519.99999,0.0445714892136587,69.1618698032879,13718166659.999998,3.052851052037007,20710933380.0,11242525500.0,5698259190.0,0.6064537056171951,11661250469.999998,5365384230.000001,0.13345280457195793,0.08888131535829924,0.049230939194093305,2.741862353586936,25.22044168909404,75.62840322978805,56.04044400716196,46.01036778862706,35.571422234185405,76462.63703427024,45905.549312783354,342688.0,293139.0,20785.288483985434,16371.511535483163,49549.0,173342.69228440535,86027.0,48323.94806281749,129617.0,40243.30543061481,34038.0,74688.06245960397,43457.0,131124.08104563132
2015,205360892950.00003,126351591910.00002,39602613969.99999,12018713870.25539,0.13549967328464974,0.14300677588511898,11542030290.000002,326548678555.0,32.79061021500603,30.237751482251053,0.1108301677712463,0.13687488619631352,264094244118.00003,31.592379505544855,35982432150.0,80.9718793937754,756933500820.0,67.20938978499397,69.76224851774896,0.12475228633420456,0.1458386385450778,641905416400.0,68.40762049445513,90369159760.0,85.54131304211565,1090198160895.0,908795104839.0,641648148.0,0.14300677588511895,0.12018713870255389,84.04296786545508,859512390.4966437,3781.9698630136986,14313856.0,12589416.0,991.4957755618053,1186.054006697637,174.10231350140128,3.6391008816888206,174572436249.99994,41829606929.99999,4253944576.385776,25806522169.999996,0.026244452931188662,40.21911736274504,14192127755.999998,1.818368789633379,18172434200.0,11439971609.999998,6964426320.000001,0.7082611037005593,11488898539.999998,5488404550.0,0.11662261408618821,0.09037816115499955,0.047838715391141796,2.7537004806154224,23.507593529806094,69.14379128206778,52.34216003000573,47.771372781223995,35.11714921339101,82741.0987487678,49554.43754126113,357088.0,305978.0,22503.897722690206,17212.83899496042,51110.0,191994.6812756799,89923.0,50826.1247956585,132812.0,42815.37180375267,35477.0,70799.2606477436,47766.0,145803.00464765733
2016,200413561330.00003,124633377490.0,40076804840.0,11348339575.7359,0.12850456499121143,0.135477183962562,12174488000.0,330512500805.99994,31.85527491441706,29.05697859382501,0.1035145548150262,0.12835190639617977,266087719414.0,30.670036346799634,33976112060.0,80.64902012090968,794281941793.0,68.14472508558295,70.94302140617498,0.11814348013509016,0.13862924853070624,670371480131.0,69.32996365320037,90657265430.00002,85.22262176796082,1131694445206.0,939118027296.0,668648686.0,0.13547718396256203,0.11348339575735902,83.76568838980238,899099236.2564447,3877.021857923497,14775767.0,13003859.0,992.0763013520719,1173.9378968476246,175.53457151836162,3.66695607439094,173121583029.99994,45880919810.0,4490211449.4993105,21362465129.999996,0.02090672678609835,31.948713244012858,14658688274.999998,1.4573244705962614,17995359780.000004,12269034120.0,7333146540.0,0.7176704105131637,11974569119.999998,5624379810.0,0.11384420329151541,0.09293747650541706,0.04803536201042395,2.7279025620292976,22.270666119999916,63.964258934625825,50.319347895796746,46.96937112005247,35.385407930993175,87175.28500452515,51278.0603506059,374573.0,320759.0,22960.82686151965,17723.77607487241,53814.0,207933.2848329431,95776.0,52371.02071500167,137190.0,45851.14585611196,37068.0,76196.10526599763,50725.0,144566.7134549039
2017,222127901510.0,129914345279.99998,49455772409.99999,11448636596.611727,0.13009601869789955,0.1364464258401997,13033395180.0,338651271029.0,31.57954523727597,28.980493516323875,0.10506393811751867,0.1298416447787645,273632673956.0,30.45467242905871,35342973690.000015,80.91698029282959,822525060536.0,68.42045476272403,71.01950648367612,0.118835299154616,0.1393387329256251,693818054914.0,69.54532757094127,94571371590.0,85.2851871547065,1168054654450.0,969904437267.0,694836039.0,0.13644642584019973,0.11448636596611728,83.90572729270231,931283117.0309455,3998.4381620693516,15181081.0,13358985.0,982.5104503427655,1170.929323317205,177.6301806584125,3.6499216242953723,197726952170.0,49595029890.00001,4689792042.284504,25225159509.999992,0.02385334832900435,36.30375814458869,14915570730.0,1.6911963991605163,19003469530.0,13049314160.0,7222137199.999999,0.6829378194542889,12716106789.999998,6107873810.000001,0.1194461720915393,0.09559282376253492,0.048694903339689885,2.749000399247184,21.32290709233404,60.698539294816946,49.53305481607181,48.03257719417125,34.28963871459317,92379.35230796825,53733.87086673537,384689.0,328947.0,23274.955951430897,17716.09070762159,55742.0,218440.76136485953,98010.0,58008.36771757982,137105.0,53394.580868677294,39955.0,78408.09836065576,53877.0,134048.61443658703
2018,200413561330.00003,138420169560.0,40076804840.0,11697741200.08622,0.13499395753050705,0.13911568130266325,15951785000.000002,346394524872.0,30.926549747752507,29.559130639015702,0.11180524925509125,0.1366163446931169,283189175183.0,30.099902078321943,38512510620.0,81.83885281533543,866831341983.0,69.0734502522475,70.44086936098431,0.11929316643149242,0.1401919285390034,730721457515.0,69.90009792167805,99907658940.0,85.09274940055009,1220329967691.0,1016917889359.0,728935700.0000001,0.13911568130266325,0.1169774120008622,84.08643145438327,972595842.3115532,3954.297169953334,15794817.0,13398545.0,947.9603908674599,1159.2926912555379,178.54930646867652,3.8224571071000666,218881654370.0,51992439520.0,4697159481.065239,33331773000.0,0.03011296546441881,45.72662993457447,14972860896.999998,2.2261459068706397,21498142430.0,14255813869.999998,7603235180.0,0.6869000289699385,12564231860.0,6230515020.000001,0.12609938899708012,0.09598642353266133,0.049014828722008935,2.815807428881783,21.289462366162116,58.32225495811421,48.96270707236945,49.58930310603167,35.04187825156177,94764.26121664008,53747.24451119002,393099.0,334271.0,23903.522115294112,18114.606591657666,58828.0,225132.3220235262,101937.0,59267.066030979935,138566.0,52658.69138172423,38030.0,80626.00157770181,55738.0,136410.26193978972
